,N,C,time,sinks
1001,300,1,0.004873514175415039,False
1002,310,1,0.004278421401977539,True
1003,310,1,0.004980564117431641,False
1004,320,1,0.00440669059753418,True
1005,320,1,0.005503654479980469,False
1006,330,1,0.004876852035522461,True
1007,330,1,0.005451202392578125,False
1008,340,1,0.0047321319580078125,True
1009,340,1,0.005556821823120117,False
1010,350,1,0.0048999786376953125,True
1011,350,1,0.005644559860229492,False
1012,360,1,0.0051212310791015625,True
1013,360,1,0.005809307098388672,False
1014,370,1,0.005135297775268555,True
1015,370,1,0.006057262420654297,False
1016,380,1,0.005343914031982422,True
1017,380,1,0.006097078323364258,False
1018,390,1,0.005368232727050781,True
1019,390,1,0.006234169006347656,False
1020,400,1,0.005597352981567383,True
1021,400,1,0.006495237350463867,False
1022,410,1,0.005734682083129883,True
1023,410,1,0.006634712219238281,False
1024,420,1,0.005839109420776367,True
1025,420,1,0.00677490234375,False
1026,430,1,0.0060272216796875,True
1027,430,1,0.0069887638092041016,False
1028,440,1,0.006148099899291992,True
1029,440,1,0.007193565368652344,False
1030,450,1,0.006245851516723633,True
1031,450,1,0.007157802581787109,False
1032,460,1,0.006512641906738281,True
1033,460,1,0.007441282272338867,False
1034,470,1,0.006559610366821289,True
1035,470,1,0.007590770721435547,False
1036,480,1,0.006796598434448242,True
1037,480,1,0.007845878601074219,False
1038,490,1,0.006829261779785156,True
1039,490,1,0.008005619049072266,False
1040,500,1,0.007112741470336914,True
1041,500,1,0.008108377456665039,False
1042,510,1,0.007021188735961914,True
1043,510,1,0.008396387100219727,False
1044,520,1,0.0072977542877197266,True
1045,520,1,0.008517742156982422,False
1046,530,1,0.0074312686920166016,True
1047,530,1,0.008669614791870117,False
1048,540,1,0.007594585418701172,True
1049,540,1,0.008859634399414062,False
1050,550,1,0.007930278778076172,True
1051,550,1,0.009089469909667969,False
1052,560,1,0.007860898971557617,True
1053,560,1,0.009138107299804688,False
1054,570,1,0.00801849365234375,True
1055,570,1,0.009353160858154297,False
1056,580,1,0.008192300796508789,True
1057,580,1,0.009607076644897461,False
1058,590,1,0.008261442184448242,True
1059,590,1,0.00981450080871582,False
1060,600,1,0.0085296630859375,True
1061,600,1,0.010006427764892578,False
1062,610,1,0.008922338485717773,True
1063,610,1,0.010146617889404297,False
1064,620,1,0.00920414924621582,True
1065,620,1,0.010523796081542969,False
1066,630,1,0.009550333023071289,True
1067,630,1,0.011328697204589844,False
1068,640,1,0.009702444076538086,True
1069,640,1,0.011528730392456055,False
1070,650,1,0.00985264778137207,True
1071,650,1,0.011000871658325195,False
1072,660,1,0.009379863739013672,True
1073,660,1,0.01109766960144043,False
1074,670,1,0.009675025939941406,True
1075,670,1,0.01115107536315918,False
1076,680,1,0.009759187698364258,True
1077,680,1,0.011484146118164062,False
1078,690,1,0.010568618774414062,True
1079,690,1,0.012304544448852539,False
1080,700,1,0.010286092758178711,True
1081,700,1,0.012183189392089844,False
1082,710,1,0.010108709335327148,True
1083,710,1,0.011912345886230469,False
1084,720,1,0.010133028030395508,True
1085,720,1,0.011898994445800781,False
1086,730,1,0.010372400283813477,True
1087,730,1,0.012031316757202148,False
1088,740,1,0.010720968246459961,True
1089,740,1,0.012351751327514648,False
1090,750,1,0.010982751846313477,True
1091,750,1,0.012468576431274414,False
1092,760,1,0.0108489990234375,True
1093,760,1,0.013301610946655273,False
1094,770,1,0.011499166488647461,True
1095,770,1,0.013039112091064453,False
1096,780,1,0.011730432510375977,True
1097,780,1,0.01296234130859375,False
1098,790,1,0.01145482063293457,True
1099,790,1,0.013129472732543945,False
1100,800,1,0.011812210083007812,True
1101,800,1,0.013254642486572266,False
1102,810,1,0.01181650161743164,True
1103,810,1,0.01346731185913086,False
1104,820,1,0.011862516403198242,True
1105,820,1,0.013815879821777344,False
1106,830,1,0.012108087539672852,True
1107,830,1,0.01454019546508789,False
1108,840,1,0.012234687805175781,True
1109,840,1,0.014250755310058594,False
1110,850,1,0.01282358169555664,True
1111,850,1,0.014985084533691406,False
1112,860,1,0.012902259826660156,True
1113,860,1,0.015508651733398438,False
1114,870,1,0.012582540512084961,True
1115,870,1,0.014681339263916016,False
1116,880,1,0.01261281967163086,True
1117,880,1,0.014923334121704102,False
1118,890,1,0.012606620788574219,True
1119,890,1,0.014938116073608398,False
1120,900,1,0.013085365295410156,True
1121,900,1,0.015027999877929688,False
1122,910,1,0.013056755065917969,True
1123,910,1,0.015224456787109375,False
1124,920,1,0.01329183578491211,True
1125,920,1,0.015615463256835938,False
1126,930,1,0.013139963150024414,True
1127,930,1,0.015592813491821289,False
1128,940,1,0.013642311096191406,True
1129,940,1,0.015642642974853516,False
1130,950,1,0.013659954071044922,True
1131,950,1,0.01589679718017578,False
1132,960,1,0.013853788375854492,True
1133,960,1,0.01627063751220703,False
1134,970,1,0.013991594314575195,True
1135,970,1,0.016184091567993164,False
1136,980,1,0.013979673385620117,True
1137,980,1,0.016247034072875977,False
1138,990,1,0.014354228973388672,True
1139,990,1,0.016510725021362305,False
1140,50,1,0.0007357597351074219,True
1141,50,1,0.0007846355438232422,False
1142,60,1,0.0008168220520019531,True
1143,60,1,0.0009508132934570312,False
1144,70,1,0.0009253025054931641,True
1145,70,1,0.0010793209075927734,False
1146,80,1,0.001058340072631836,True
1147,80,1,0.0012793540954589844,False
1148,90,1,0.0012083053588867188,True
1149,90,1,0.001382589340209961,False
1150,100,1,0.001382589340209961,True
1151,100,1,0.0015516281127929688,False
1152,110,1,0.0015337467193603516,True
1153,110,1,0.0016849040985107422,False
1154,120,1,0.0016393661499023438,True
1155,120,1,0.0018260478973388672,False
1156,130,1,0.0017673969268798828,True
1157,130,1,0.0020165443420410156,False
1158,140,1,0.0018618106842041016,True
1159,140,1,0.002131938934326172,False
1160,150,1,0.0020568370819091797,True
1161,150,1,0.0023126602172851562,False
1162,160,1,0.002217531204223633,True
1163,160,1,0.002471446990966797,False
1164,170,1,0.002304553985595703,True
1165,170,1,0.0026459693908691406,False
1166,180,1,0.0024535655975341797,True
1167,180,1,0.002836942672729492,False
1168,190,1,0.0025937557220458984,True
1169,190,1,0.002968311309814453,False
1170,200,1,0.0027768611907958984,True
1171,200,1,0.0031349658966064453,False
1172,210,1,0.0029027462005615234,True
1173,210,1,0.003263711929321289,False
1174,220,1,0.002924680709838867,True
1175,220,1,0.0034317970275878906,False
1176,230,1,0.0032672882080078125,True
1177,230,1,0.003742218017578125,False
1178,240,1,0.003220081329345703,True
1179,240,1,0.003751516342163086,False
1180,250,1,0.0034782886505126953,True
1181,250,1,0.003937482833862305,False
1182,260,1,0.0035364627838134766,True
1183,260,1,0.004137992858886719,False
1184,270,1,0.0038933753967285156,True
1185,270,1,0.00435328483581543,False
1186,280,1,0.0038406848907470703,True
1187,280,1,0.004446268081665039,False
1188,290,1,0.004043102264404297,True
1189,290,1,0.004590034484863281,False
1190,300,1,0.004202604293823242,True
1191,300,1,0.004820108413696289,False
1192,310,1,0.004295825958251953,True
1193,310,1,0.004914045333862305,False
1194,320,1,0.004483461380004883,True
1195,320,1,0.005209207534790039,False
1196,330,1,0.004587888717651367,True
1197,330,1,0.0053026676177978516,False
1198,340,1,0.004795074462890625,True
1199,340,1,0.005468130111694336,False
1200,350,1,0.0047969818115234375,True
1201,350,1,0.0056056976318359375,False
1202,360,1,0.004958629608154297,True
1203,360,1,0.005773305892944336,False
1204,370,1,0.005170106887817383,True
1205,370,1,0.005936861038208008,False
1206,380,1,0.005211353302001953,True
1207,380,1,0.006134033203125,False
1208,390,1,0.005478382110595703,True
1209,390,1,0.006211042404174805,False
1210,400,1,0.005534648895263672,True
1211,400,1,0.006586790084838867,False
1212,410,1,0.005816221237182617,True
1213,410,1,0.006715297698974609,False
1214,420,1,0.005929708480834961,True
1215,420,1,0.0068781375885009766,False
1216,430,1,0.006074190139770508,True
1217,430,1,0.007020473480224609,False
1218,440,1,0.0060269832611083984,True
1219,440,1,0.007330894470214844,False
1220,450,1,0.00645136833190918,True
1221,450,1,0.007528066635131836,False
1222,460,1,0.0064792633056640625,True
1223,460,1,0.00793766975402832,False
1224,470,1,0.006856679916381836,True
1225,470,1,0.00799417495727539,False
1226,480,1,0.007255077362060547,True
1227,480,1,0.00803685188293457,False
1228,490,1,0.007021427154541016,True
1229,490,1,0.008306264877319336,False
1230,500,1,0.007210731506347656,True
1231,500,1,0.00812983512878418,False
1232,510,1,0.0072116851806640625,True
1233,510,1,0.008259773254394531,False
1234,520,1,0.007779121398925781,True
1235,520,1,0.009042024612426758,False
1236,530,1,0.0075685977935791016,True
1237,530,1,0.008791923522949219,False
1238,540,1,0.00784158706665039,True
1239,540,1,0.009034872055053711,False
1240,550,1,0.007682085037231445,True
1241,550,1,0.008871793746948242,False
1242,560,1,0.0077075958251953125,True
1243,560,1,0.009231090545654297,False
1244,570,1,0.008088350296020508,True
1245,570,1,0.009679317474365234,False
1246,580,1,0.008500814437866211,True
1247,580,1,0.010106325149536133,False
1248,590,1,0.008747100830078125,True
1249,590,1,0.010282039642333984,False
1250,600,1,0.008997440338134766,True
1251,600,1,0.010414838790893555,False
1252,610,1,0.009114742279052734,True
1253,610,1,0.010840177536010742,False
1254,620,1,0.009659767150878906,True
1255,620,1,0.011000633239746094,False
1256,630,1,0.009632587432861328,True
1257,630,1,0.01116323471069336,False
1258,640,1,0.009105682373046875,True
1259,640,1,0.010560035705566406,False
1260,650,1,0.00918889045715332,True
1261,650,1,0.010797262191772461,False
1262,660,1,0.009361982345581055,True
1263,660,1,0.011022329330444336,False
1264,670,1,0.009644031524658203,True
1265,670,1,0.011124610900878906,False
1266,680,1,0.009762048721313477,True
1267,680,1,0.011340856552124023,False
1268,690,1,0.009888887405395508,True
1269,690,1,0.011452674865722656,False
1270,700,1,0.01002192497253418,True
1271,700,1,0.011514663696289062,False
1272,710,1,0.010086774826049805,True
1273,710,1,0.011638402938842773,False
1274,720,1,0.010312318801879883,True
1275,720,1,0.011917829513549805,False
1276,730,1,0.010363101959228516,True
1277,730,1,0.012293577194213867,False
1278,740,1,0.01136016845703125,True
1279,740,1,0.013163089752197266,False
1280,750,1,0.010695695877075195,True
1281,750,1,0.01250457763671875,False
1282,760,1,0.010682106018066406,True
1283,760,1,0.012498140335083008,False
1284,770,1,0.010985612869262695,True
1285,770,1,0.012884140014648438,False
1286,780,1,0.01102590560913086,True
1287,780,1,0.01287078857421875,False
1288,790,1,0.011220216751098633,True
1289,790,1,0.013205766677856445,False
1290,800,1,0.011441230773925781,True
1291,800,1,0.013229608535766602,False
1292,810,1,0.011662960052490234,True
1293,810,1,0.013587236404418945,False
1294,820,1,0.011900663375854492,True
1295,820,1,0.01360774040222168,False
1296,830,1,0.011892080307006836,True
1297,830,1,0.013817071914672852,False
1298,840,1,0.012180566787719727,True
1299,840,1,0.013947725296020508,False
1300,850,1,0.012392520904541016,True
1301,850,1,0.014311075210571289,False
1302,860,1,0.012491941452026367,True
1303,860,1,0.014651298522949219,False
1304,870,1,0.013041973114013672,True
1305,870,1,0.015054464340209961,False
1306,880,1,0.012853384017944336,True
1307,880,1,0.015051126480102539,False
1308,890,1,0.01355886459350586,True
1309,890,1,0.01535487174987793,False
1310,900,1,0.01362156867980957,True
1311,900,1,0.01609969139099121,False
1312,910,1,0.013111114501953125,True
1313,910,1,0.015091419219970703,False
1314,920,1,0.013406753540039062,True
1315,920,1,0.015399932861328125,False
1316,930,1,0.013443708419799805,True
1317,930,1,0.015503406524658203,False
1318,940,1,0.013620615005493164,True
1319,940,1,0.01578807830810547,False
1320,950,1,0.013709545135498047,True
1321,950,1,0.016948938369750977,False
1322,960,1,0.013832569122314453,True
1323,960,1,0.016224384307861328,False
1324,970,1,0.014147281646728516,True
1325,970,1,0.016162872314453125,False
1326,980,1,0.014008283615112305,True
1327,980,1,0.016542673110961914,False
1328,990,1,0.014379739761352539,True
1329,990,1,0.016479015350341797,False
1330,50,1,0.0007297992706298828,True
1331,50,1,0.0007655620574951172,False
1332,60,1,0.0008461475372314453,True
1333,60,1,0.0009450912475585938,False
1334,70,1,0.0009362697601318359,True
1335,70,1,0.0011086463928222656,False
1336,80,1,0.001074075698852539,True
1337,80,1,0.0012178421020507812,False
1338,90,1,0.0011947154998779297,True
1339,90,1,0.0013637542724609375,False
1340,100,1,0.0013594627380371094,True
1341,100,1,0.001519918441772461,False
1342,110,1,0.0014798641204833984,True
1343,110,1,0.0017304420471191406,False
1344,120,1,0.001627206802368164,True
1345,120,1,0.001863241195678711,False
1346,130,1,0.0017588138580322266,True
1347,130,1,0.002023458480834961,False
1348,140,1,0.0019423961639404297,True
1349,140,1,0.002155780792236328,False
1350,150,1,0.0020275115966796875,True
1351,150,1,0.0023758411407470703,False
1352,160,1,0.002184152603149414,True
1353,160,1,0.0024864673614501953,False
1354,170,1,0.002313852310180664,True
1355,170,1,0.002832651138305664,False
1356,180,1,0.0024945735931396484,True
1357,180,1,0.0028181076049804688,False
1358,190,1,0.002536296844482422,True
1359,190,1,0.003042936325073242,False
1360,200,1,0.002654552459716797,True
1361,200,1,0.003137826919555664,False
1362,210,1,0.002916574478149414,True
1363,210,1,0.003473997116088867,False
1364,220,1,0.004367351531982422,True
1365,220,1,0.0046885013580322266,False
1366,230,1,0.0033180713653564453,True
1367,230,1,0.003991127014160156,False
1368,240,1,0.0036652088165283203,True
1369,240,1,0.003930091857910156,False
1370,250,1,0.0034189224243164062,True
1371,250,1,0.0046579837799072266,False
1372,260,1,0.00410151481628418,True
1373,260,1,0.00440526008605957,False
1374,270,1,0.0036859512329101562,True
1375,270,1,0.0045413970947265625,False
1376,280,1,0.004215717315673828,True
1377,280,1,0.00454401969909668,False
1378,290,1,0.004251718521118164,True
1379,290,1,0.004791259765625,False
1380,300,1,0.004732847213745117,True
1381,300,1,0.00518035888671875,False
1382,310,1,0.004566192626953125,True
1383,310,1,0.0051271915435791016,False
