,N,P,time
1045,190,0.3,0.06136655807495117
1046,190,0.5,0.09847164154052734
1047,190,0.7,0.1336231231689453
1048,190,0.9,0.1717817783355713
1049,190,1.0,0.18110871315002441
1050,200,0.05,0.014388322830200195
1051,200,0.1,0.02482891082763672
1052,200,0.3,0.06528377532958984
1053,200,0.5,0.10584878921508789
1054,200,0.7,0.14681267738342285
1055,200,0.9,0.19066572189331055
1056,200,1.0,0.19847869873046875
1057,210,0.05,0.019482851028442383
1058,210,0.1,0.029223203659057617
1059,210,0.3,0.07349491119384766
1060,210,0.5,0.11992096900939941
1061,210,0.7,0.16402244567871094
1062,210,0.9,0.20582008361816406
1063,210,1.0,0.21737241744995117
1064,220,0.05,0.016566038131713867
1065,220,0.1,0.02942824363708496
1066,220,0.3,0.0791327953338623
1067,220,0.5,0.13705873489379883
1068,220,0.7,0.18172574043273926
1069,220,0.9,0.22696781158447266
1070,220,1.0,0.2417588233947754
1071,230,0.05,0.01750922203063965
1072,230,0.1,0.032377004623413086
1073,230,0.3,0.08687472343444824
1074,230,0.5,0.14295601844787598
1075,230,0.7,0.19524312019348145
1076,230,0.9,0.24437689781188965
1077,230,1.0,0.2612268924713135
1078,240,0.05,0.01927495002746582
1079,240,0.1,0.03452253341674805
1080,240,0.3,0.09541559219360352
1081,240,0.5,0.1575326919555664
1082,240,0.7,0.20848464965820312
1083,240,0.9,0.26710963249206543
1084,240,1.0,0.28283262252807617
1085,250,0.05,0.021785736083984375
1086,250,0.1,0.03791403770446777
1087,250,0.3,0.10048985481262207
1088,250,0.5,0.16579484939575195
1089,250,0.7,0.23261475563049316
1090,250,0.9,0.2947196960449219
1091,250,1.0,0.31322598457336426
1092,260,0.05,0.02449941635131836
1093,260,0.1,0.04247927665710449
1094,260,0.3,0.11184835433959961
1095,260,0.5,0.18370532989501953
1096,260,0.7,0.24866962432861328
1097,260,0.9,0.31790733337402344
1098,260,1.0,0.3418128490447998
1099,270,0.05,0.02415943145751953
1100,270,0.1,0.04191732406616211
1101,270,0.3,0.11831212043762207
1102,270,0.5,0.19958257675170898
1103,270,0.7,0.2895529270172119
1104,270,0.9,0.3511161804199219
1105,270,1.0,0.3681199550628662
1106,280,0.05,0.026051759719848633
1107,280,0.1,0.04679608345031738
1108,280,0.3,0.1326911449432373
1109,280,0.5,0.22272729873657227
1110,280,0.7,0.2913191318511963
1111,280,0.9,0.3676121234893799
1112,280,1.0,0.3867504596710205
1113,290,0.05,0.027647972106933594
1114,290,0.1,0.050666093826293945
1115,290,0.3,0.14022469520568848
1116,290,0.5,0.2253425121307373
1117,290,0.7,0.3110768795013428
1118,290,0.9,0.39423704147338867
1119,290,1.0,0.41548919677734375
1120,300,0.05,0.029316186904907227
1121,300,0.1,0.053964853286743164
1122,300,0.3,0.15046310424804688
1123,300,0.5,0.24259567260742188
1124,300,0.7,0.32849621772766113
1125,300,0.9,0.41788601875305176
1126,300,1.0,0.4414653778076172
1127,310,0.05,0.031525373458862305
1128,310,0.1,0.05757617950439453
1129,310,0.3,0.15888047218322754
1130,310,0.5,0.2580864429473877
1131,310,0.7,0.3640713691711426
1132,310,0.9,0.44633984565734863
1133,310,1.0,0.4908256530761719
1134,320,0.05,0.03421592712402344
1135,320,0.1,0.06222128868103027
1136,320,0.3,0.17041015625
1137,320,0.5,0.27740979194641113
1138,320,0.7,0.37848997116088867
1139,320,0.9,0.4855458736419678
1140,320,1.0,0.514162540435791
1141,330,0.05,0.03768754005432129
1142,330,0.1,0.06769108772277832
