,N,C,time
752,600,5,0.02364182472229004
753,600,7,0.029883384704589844
754,600,9,0.03699207305908203
755,610,1,0.01684856414794922
756,610,3,0.01827216148376465
757,610,5,0.023604631423950195
758,610,7,0.03032851219177246
759,610,9,0.036163330078125
760,620,1,0.017073392868041992
761,620,3,0.018577098846435547
762,620,5,0.02352619171142578
763,620,7,0.03185153007507324
764,620,9,0.0373690128326416
765,630,1,0.01726818084716797
766,630,3,0.01878499984741211
767,630,5,0.02449965476989746
768,630,7,0.030988693237304688
769,630,9,0.03717184066772461
770,640,1,0.017472505569458008
771,640,3,0.019121170043945312
772,640,5,0.024524450302124023
773,640,7,0.032506465911865234
774,640,9,0.03836464881896973
775,650,1,0.017695188522338867
776,650,3,0.019250869750976562
777,650,5,0.024930477142333984
778,650,7,0.03234386444091797
779,650,9,0.03839111328125
780,660,1,0.018136262893676758
781,660,3,0.0195615291595459
782,660,5,0.02541208267211914
783,660,7,0.03282356262207031
784,660,9,0.03949308395385742
785,670,1,0.018319129943847656
786,670,3,0.020053386688232422
787,670,5,0.025646686553955078
788,670,7,0.03314828872680664
789,670,9,0.04028463363647461
790,680,1,0.018668651580810547
791,680,3,0.02048802375793457
792,680,5,0.026176929473876953
793,680,7,0.03428459167480469
794,680,9,0.04078221321105957
795,690,1,0.01891922950744629
796,690,3,0.020714282989501953
797,690,5,0.027007341384887695
798,690,7,0.035253047943115234
799,690,9,0.04188418388366699
800,700,1,0.020442485809326172
801,700,3,0.02123713493347168
802,700,5,0.027214765548706055
803,700,7,0.03516340255737305
804,700,9,0.04183077812194824
805,710,1,0.01949596405029297
806,710,3,0.021427154541015625
807,710,5,0.027340173721313477
808,710,7,0.03545880317687988
809,710,9,0.04332113265991211
810,720,1,0.0197751522064209
811,720,3,0.02163386344909668
812,720,5,0.027962446212768555
813,720,7,0.03574514389038086
814,720,9,0.04326224327087402
815,730,1,0.02020740509033203
816,730,3,0.021968603134155273
817,730,5,0.02852344512939453
818,730,7,0.03626871109008789
819,730,9,0.04390263557434082
820,740,1,0.020409107208251953
821,740,3,0.022251367568969727
822,740,5,0.02867865562438965
823,740,7,0.036919593811035156
824,740,9,0.04539227485656738
825,750,1,0.02225351333618164
826,750,3,0.022751331329345703
827,750,5,0.029413461685180664
828,750,7,0.037954092025756836
829,750,9,0.04504704475402832
830,760,1,0.021016836166381836
831,760,3,0.022984027862548828
832,760,5,0.0291900634765625
833,760,7,0.03824448585510254
834,760,9,0.045810699462890625
835,770,1,0.02119302749633789
836,770,3,0.33803510665893555
837,770,5,0.029855012893676758
838,770,7,0.038773536682128906
839,770,9,0.04757094383239746
840,780,1,0.02152109146118164
841,780,3,0.023606300354003906
842,780,5,0.030492544174194336
843,780,7,0.03969168663024902
844,780,9,0.047625064849853516
845,790,1,0.021932125091552734
846,790,3,0.023645877838134766
847,790,5,0.03163647651672363
848,790,7,0.0401613712310791
849,790,9,0.04848885536193848
850,800,1,0.02206873893737793
851,800,3,0.02451777458190918
852,800,5,0.03265810012817383
853,800,7,0.04091286659240723
854,800,9,0.04993295669555664
855,810,1,0.02260756492614746
856,810,3,0.024559974670410156
857,810,5,0.031951189041137695
858,810,7,0.04123854637145996
859,810,9,0.04983401298522949
860,820,1,0.022730112075805664
861,820,3,0.02531599998474121
862,820,5,0.032190561294555664
863,820,7,0.04153800010681152
864,820,9,0.050759077072143555
865,830,1,0.02295660972595215
866,830,3,0.025316238403320312
867,830,5,0.03287816047668457
868,830,7,0.042958736419677734
869,830,9,0.051981449127197266
870,840,1,0.023128032684326172
871,840,3,0.025774002075195312
872,840,5,0.03300738334655762
873,840,7,0.04299044609069824
874,840,9,0.051888227462768555
875,850,1,0.02362227439880371
876,850,3,0.027096986770629883
877,850,5,0.033063650131225586
878,850,7,0.04304003715515137
879,850,9,0.05192232131958008
880,860,1,0.023814678192138672
881,860,3,0.02611374855041504
882,860,5,0.0335845947265625
883,860,7,0.043828487396240234
884,860,9,0.052461862564086914
885,870,1,0.023914813995361328
886,870,3,0.026320457458496094
887,870,5,0.03373432159423828
888,870,7,0.044074058532714844
889,870,9,0.053057193756103516
890,880,1,0.023965835571289062
891,880,3,0.026556015014648438
892,880,5,0.03432607650756836
893,880,7,0.045066118240356445
894,880,9,0.054181814193725586
895,890,1,0.024500131607055664
896,890,3,0.02764153480529785
897,890,5,0.03570413589477539
898,890,7,0.04556465148925781
899,890,9,0.05527973175048828
900,900,1,0.02492499351501465
901,900,3,0.027161598205566406
902,900,5,0.03611135482788086
903,900,7,0.046128273010253906
904,900,9,0.05536675453186035
905,910,1,0.024896860122680664
906,910,3,0.027604341506958008
907,910,5,0.03588223457336426
908,910,7,0.047252655029296875
909,910,9,0.05554056167602539
910,920,1,0.025409936904907227
911,920,3,0.028018951416015625
912,920,5,0.03582501411437988
913,920,7,0.04671287536621094
914,920,9,0.05699324607849121
915,930,1,0.025486469268798828
916,930,3,0.0282742977142334
917,930,5,0.03655266761779785
918,930,7,0.0472257137298584
919,930,9,0.05786013603210449
920,940,1,0.025991439819335938
921,940,3,0.02859807014465332
922,940,5,0.037119150161743164
923,940,7,0.04881620407104492
924,940,9,0.061781883239746094
925,950,1,0.028255701065063477
926,950,3,0.03164958953857422
927,950,5,0.0410161018371582
928,950,7,0.06113576889038086
929,950,9,0.06042933464050293
930,960,1,0.02652144432067871
931,960,3,0.02914738655090332
932,960,5,0.041287899017333984
933,960,7,0.06841301918029785
934,960,9,0.05935931205749512
935,970,1,0.026576995849609375
936,970,3,0.02935791015625
937,970,5,0.037975311279296875
938,970,7,0.04963803291320801
939,970,9,0.06022477149963379
940,980,1,0.02695918083190918
941,980,3,0.02990436553955078
942,980,5,0.03864431381225586
943,980,7,0.05057811737060547
944,980,9,0.06091952323913574
945,990,1,0.027444124221801758
946,990,3,0.03033900260925293
