,filename,nodes,n,c,time
40,gnp_uniform_mpg_4_9_0.edgelist.gz,4,4,9,0.008524300996214151
41,gnp_uniform_mpg_4_9_1.edgelist.gz,4,4,9,0.0020075089996680617
42,gnp_uniform_mpg_4_9_2.edgelist.gz,4,4,9,0.008143737999489531
43,gnp_uniform_mpg_4_9_3.edgelist.gz,4,4,9,0.007238738995511085
44,gnp_uniform_mpg_4_9_4.edgelist.gz,4,4,9,0.0020400549983605742
45,gnp_uniform_mpg_4_9_5.edgelist.gz,4,4,9,0.008873087994288653
46,gnp_uniform_mpg_4_9_6.edgelist.gz,4,4,9,0.0022451080149039626
47,gnp_uniform_mpg_4_9_7.edgelist.gz,4,4,9,0.0020527660090010613
48,gnp_uniform_mpg_4_9_8.edgelist.gz,4,4,9,0.00998104500467889
49,gnp_uniform_mpg_4_9_9.edgelist.gz,4,4,9,0.008837608009343967
50,gnp_uniform_mpg_9_1_0.edgelist.gz,9,9,1,0.005966166005237028
51,gnp_uniform_mpg_9_1_1.edgelist.gz,9,9,1,0.0018069259822368622
52,gnp_uniform_mpg_9_1_2.edgelist.gz,9,9,1,0.007288535009138286
53,gnp_uniform_mpg_9_1_3.edgelist.gz,9,9,1,0.008875950996298343
54,gnp_uniform_mpg_9_1_4.edgelist.gz,9,9,1,0.007009450986515731
55,gnp_uniform_mpg_9_1_5.edgelist.gz,9,9,1,0.0053224410221446306
56,gnp_uniform_mpg_9_1_6.edgelist.gz,9,9,1,0.011195440019946545
57,gnp_uniform_mpg_9_1_7.edgelist.gz,9,9,1,0.00259361500502564
58,gnp_uniform_mpg_9_1_8.edgelist.gz,9,9,1,0.005143021000549197
59,gnp_uniform_mpg_9_1_9.edgelist.gz,9,9,1,0.006485434016212821
60,gnp_uniform_mpg_9_3_0.edgelist.gz,9,9,3,0.0031239170057233423
61,gnp_uniform_mpg_9_3_1.edgelist.gz,9,9,3,0.019871644995873794
62,gnp_uniform_mpg_9_3_2.edgelist.gz,9,9,3,0.030441729992162436
63,gnp_uniform_mpg_9_3_3.edgelist.gz,9,9,3,0.030597195989685133
64,gnp_uniform_mpg_9_3_4.edgelist.gz,9,9,3,0.02589612899464555
65,gnp_uniform_mpg_9_3_5.edgelist.gz,9,9,3,0.03929470299044624
66,gnp_uniform_mpg_9_3_6.edgelist.gz,9,9,3,0.0040518949972465634
67,gnp_uniform_mpg_9_3_7.edgelist.gz,9,9,3,0.02376528098830022
68,gnp_uniform_mpg_9_3_8.edgelist.gz,9,9,3,0.017326012020930648
69,gnp_uniform_mpg_9_3_9.edgelist.gz,9,9,3,0.006271580001339316
70,gnp_uniform_mpg_9_5_0.edgelist.gz,9,9,5,0.0060681340110022575
71,gnp_uniform_mpg_9_5_1.edgelist.gz,9,9,5,0.006474538997281343
72,gnp_uniform_mpg_9_5_2.edgelist.gz,9,9,5,0.005205736990319565
73,gnp_uniform_mpg_9_5_3.edgelist.gz,9,9,5,0.006072743999538943
74,gnp_uniform_mpg_9_5_4.edgelist.gz,9,9,5,0.07189493800979108
75,gnp_uniform_mpg_9_5_5.edgelist.gz,9,9,5,0.0501297639857512
76,gnp_uniform_mpg_9_5_6.edgelist.gz,9,9,5,0.005376777990022674
77,gnp_uniform_mpg_9_5_7.edgelist.gz,9,9,5,0.005694554012734443
78,gnp_uniform_mpg_9_5_8.edgelist.gz,9,9,5,0.005573171016294509
79,gnp_uniform_mpg_9_5_9.edgelist.gz,9,9,5,0.004926443012664095
80,gnp_uniform_mpg_9_7_0.edgelist.gz,9,9,7,0.008542879979358986
81,gnp_uniform_mpg_9_7_1.edgelist.gz,9,9,7,0.1161124529899098
82,gnp_uniform_mpg_9_7_2.edgelist.gz,9,9,7,0.008131655980832875
83,gnp_uniform_mpg_9_7_3.edgelist.gz,9,9,7,0.008504186989739537
84,gnp_uniform_mpg_9_7_4.edgelist.gz,9,9,7,0.007916336006019264
85,gnp_uniform_mpg_9_7_5.edgelist.gz,9,9,7,0.10576558101456612
86,gnp_uniform_mpg_9_7_6.edgelist.gz,9,9,7,0.007572717993753031
87,gnp_uniform_mpg_9_7_7.edgelist.gz,9,9,7,0.008330353011842817
88,gnp_uniform_mpg_9_7_8.edgelist.gz,9,9,7,0.008912059012800455
89,gnp_uniform_mpg_9_7_9.edgelist.gz,9,9,7,0.007466141018085182
90,gnp_uniform_mpg_9_9_0.edgelist.gz,9,9,9,0.46059256297303364
91,gnp_uniform_mpg_9_9_1.edgelist.gz,9,9,9,0.16764141101157293
92,gnp_uniform_mpg_9_9_2.edgelist.gz,9,9,9,0.01039939300972037
93,gnp_uniform_mpg_9_9_3.edgelist.gz,9,9,9,0.009869300003629178
94,gnp_uniform_mpg_9_9_4.edgelist.gz,9,9,9,0.009865179017651826
95,gnp_uniform_mpg_9_9_5.edgelist.gz,9,9,9,0.00964413199108094
96,gnp_uniform_mpg_9_9_6.edgelist.gz,9,9,9,0.010209564992692322
97,gnp_uniform_mpg_9_9_7.edgelist.gz,9,9,9,0.009617522999178618
98,gnp_uniform_mpg_9_9_8.edgelist.gz,9,9,9,0.009808188013266772
99,gnp_uniform_mpg_9_9_9.edgelist.gz,9,9,9,0.16299447100027464
100,gnp_uniform_mpg_16_1_0.edgelist.gz,16,16,1,0.01266705899615772
101,gnp_uniform_mpg_16_1_1.edgelist.gz,16,16,1,0.004059925995534286
102,gnp_uniform_mpg_16_1_2.edgelist.gz,16,16,1,0.014186240994604304
103,gnp_uniform_mpg_16_1_3.edgelist.gz,16,16,1,0.008447966014500707
104,gnp_uniform_mpg_16_1_4.edgelist.gz,16,16,1,0.0187278600060381
105,gnp_uniform_mpg_16_1_5.edgelist.gz,16,16,1,0.020289155014324933
106,gnp_uniform_mpg_16_1_6.edgelist.gz,16,16,1,0.006557439977768809
107,gnp_uniform_mpg_16_1_7.edgelist.gz,16,16,1,0.020281122997403145
108,gnp_uniform_mpg_16_1_8.edgelist.gz,16,16,1,0.01319924698327668
109,gnp_uniform_mpg_16_1_9.edgelist.gz,16,16,1,0.017832637997344136
110,gnp_uniform_mpg_16_3_0.edgelist.gz,16,16,3,0.007134396000765264
111,gnp_uniform_mpg_16_3_1.edgelist.gz,16,16,3,0.04509171500103548
112,gnp_uniform_mpg_16_3_2.edgelist.gz,16,16,3,0.005482168024173006
113,gnp_uniform_mpg_16_3_3.edgelist.gz,16,16,3,0.007141100999433547
114,gnp_uniform_mpg_16_3_4.edgelist.gz,16,16,3,0.04316193802515045
115,gnp_uniform_mpg_16_3_5.edgelist.gz,16,16,3,0.08418541500577703
116,gnp_uniform_mpg_16_3_6.edgelist.gz,16,16,3,0.05931790400063619
117,gnp_uniform_mpg_16_3_7.edgelist.gz,16,16,3,0.006883458001539111
118,gnp_uniform_mpg_16_3_8.edgelist.gz,16,16,3,0.006467623985372484
119,gnp_uniform_mpg_16_3_9.edgelist.gz,16,16,3,0.005839474004460499
120,gnp_uniform_mpg_16_5_0.edgelist.gz,16,16,5,0.012282654992304742
121,gnp_uniform_mpg_16_5_1.edgelist.gz,16,16,5,0.15495975498924963
122,gnp_uniform_mpg_16_5_2.edgelist.gz,16,16,5,0.15662357601104304
123,gnp_uniform_mpg_16_5_3.edgelist.gz,16,16,5,0.013125215977197513
124,gnp_uniform_mpg_16_5_4.edgelist.gz,16,16,5,0.011328975990181789
125,gnp_uniform_mpg_16_5_5.edgelist.gz,16,16,5,0.009961977979401127
126,gnp_uniform_mpg_16_5_6.edgelist.gz,16,16,5,0.011815767997177318
127,gnp_uniform_mpg_16_5_7.edgelist.gz,16,16,5,0.012023335002595559
128,gnp_uniform_mpg_16_5_8.edgelist.gz,16,16,5,0.16068727400852367
129,gnp_uniform_mpg_16_5_9.edgelist.gz,16,16,5,0.011976051988312975
130,gnp_uniform_mpg_16_7_0.edgelist.gz,16,16,7,0.015863192005781457
131,gnp_uniform_mpg_16_7_1.edgelist.gz,16,16,7,0.014843514014501125
132,gnp_uniform_mpg_16_7_2.edgelist.gz,16,16,7,0.015090331988176331
133,gnp_uniform_mpg_16_7_3.edgelist.gz,16,16,7,0.013612426992040128
134,gnp_uniform_mpg_16_7_4.edgelist.gz,16,16,7,0.01500959598342888
135,gnp_uniform_mpg_16_7_5.edgelist.gz,16,16,7,0.013174802996218204
136,gnp_uniform_mpg_16_7_6.edgelist.gz,16,16,7,0.05139144099666737
137,gnp_uniform_mpg_16_7_7.edgelist.gz,16,16,7,0.014515261020278558
138,gnp_uniform_mpg_16_7_8.edgelist.gz,16,16,7,0.014957703999243677
139,gnp_uniform_mpg_16_7_9.edgelist.gz,16,16,7,0.014867050980683416
140,gnp_uniform_mpg_16_9_0.edgelist.gz,16,16,9,0.017122565011959523
141,gnp_uniform_mpg_16_9_1.edgelist.gz,16,16,9,0.018339684000238776
142,gnp_uniform_mpg_16_9_2.edgelist.gz,16,16,9,0.46573823801008984
143,gnp_uniform_mpg_16_9_3.edgelist.gz,16,16,9,0.01720539599773474
144,gnp_uniform_mpg_16_9_4.edgelist.gz,16,16,9,0.017292837001150474
145,gnp_uniform_mpg_16_9_5.edgelist.gz,16,16,9,0.019561621971661225
146,gnp_uniform_mpg_16_9_6.edgelist.gz,16,16,9,0.018123317015124485
147,gnp_uniform_mpg_16_9_7.edgelist.gz,16,16,9,0.017658873985055834
148,gnp_uniform_mpg_16_9_8.edgelist.gz,16,16,9,0.019604503992013633
149,gnp_uniform_mpg_16_9_9.edgelist.gz,16,16,9,0.020145561982644722
150,gnp_uniform_mpg_25_1_0.edgelist.gz,25,25,1,0.014025676005985588
151,gnp_uniform_mpg_25_1_1.edgelist.gz,25,25,1,0.0439567290013656
152,gnp_uniform_mpg_25_1_2.edgelist.gz,25,25,1,0.04491487701307051
153,gnp_uniform_mpg_25_1_3.edgelist.gz,25,25,1,0.025066906993743032
154,gnp_uniform_mpg_25_1_4.edgelist.gz,25,25,1,0.05244450399186462
155,gnp_uniform_mpg_25_1_5.edgelist.gz,25,25,1,0.00664697602041997
156,gnp_uniform_mpg_25_1_6.edgelist.gz,25,25,1,0.005619475996354595
