,filename,nodes,n,c,time
278,gnp_uniform_mpg_49_5_8.edgelist.gz,49,49,5,0.04533296500085271
279,gnp_uniform_mpg_49_5_9.edgelist.gz,49,49,5,0.04486509999878763
280,gnp_uniform_mpg_49_7_0.edgelist.gz,49,49,7,0.05537434099824168
281,gnp_uniform_mpg_49_7_1.edgelist.gz,49,49,7,3.4721795429995836
282,gnp_uniform_mpg_49_7_2.edgelist.gz,49,49,7,4.010433777999424
283,gnp_uniform_mpg_49_7_3.edgelist.gz,49,49,7,3.2754163360004895
284,gnp_uniform_mpg_49_7_4.edgelist.gz,49,49,7,0.046610215000328026
285,gnp_uniform_mpg_49_7_5.edgelist.gz,49,49,7,0.05225280199920235
286,gnp_uniform_mpg_49_7_6.edgelist.gz,49,49,7,2.994029554998633
287,gnp_uniform_mpg_49_7_7.edgelist.gz,49,49,7,2.6900895390008372
288,gnp_uniform_mpg_49_7_8.edgelist.gz,49,49,7,0.1456229710001935
289,gnp_uniform_mpg_49_7_9.edgelist.gz,49,49,7,0.04556176400001277
290,gnp_uniform_mpg_49_9_0.edgelist.gz,49,49,9,0.06448732299941184
291,gnp_uniform_mpg_49_9_1.edgelist.gz,49,49,9,5.594841600999644
292,gnp_uniform_mpg_49_9_2.edgelist.gz,49,49,9,0.06335778599896003
293,gnp_uniform_mpg_49_9_3.edgelist.gz,49,49,9,0.1555656620002992
294,gnp_uniform_mpg_49_9_4.edgelist.gz,49,49,9,0.06384778900064703
295,gnp_uniform_mpg_49_9_5.edgelist.gz,49,49,9,0.06025272899933043
296,gnp_uniform_mpg_49_9_6.edgelist.gz,49,49,9,0.06564263099971868
297,gnp_uniform_mpg_49_9_7.edgelist.gz,49,49,9,0.1525935119989299
298,gnp_uniform_mpg_49_9_8.edgelist.gz,49,49,9,4.7608330530001695
299,gnp_uniform_mpg_49_9_9.edgelist.gz,49,49,9,0.06219668100129638
300,gnp_uniform_mpg_64_1_0.edgelist.gz,64,64,1,0.1733084659990709
301,gnp_uniform_mpg_64_1_1.edgelist.gz,64,64,1,0.02323334599896043
302,gnp_uniform_mpg_64_1_2.edgelist.gz,64,64,1,0.3833503850000852
303,gnp_uniform_mpg_64_1_3.edgelist.gz,64,64,1,0.2874113279995072
